shaft_diameter,hub_length,shaft_type,shaft_material,has_bending,safety_factor,surface_condition,mu_override,hub_outer_diameter,shaft_inner_diameter,required_torque,pref_ease,pref_movement,pref_cost,pref_vibration,pref_speed,pref_bidirectional,pref_maintenance,pref_durability,label,analytical_label,feasible
100.0,68.0,hollow,Cast Iron GGG40,0.0,1.7,oiled,,190.0,54.0,1277687.0,1.0,0.9,0.4,0.5,0.4,1.0,0.2,0.8,spline,spline,1.0
45.0,42.0,solid,Stainless 304,1.0,1.6,oiled,,108.0,,37846.0,0.4,0.9,0.7,0.8,0.8,0.4,0.2,0.5,spline,spline,1.0
60.0,32.0,solid,Aluminum 7075,0.0,1.6,dry,,114.0,,313288.0,0.5,0.7,0.5,0.3,0.2,0.7,0.6,1.0,spline,spline,1.0
35.0,25.0,solid,Steel 16MnCr5,0.0,1.6,dry,,67.0,,61125.0,0.9,0.2,0.8,0.0,0.8,0.8,0.8,0.7,key,key,1.0
40.0,38.0,solid,Bronze CuSn8,1.0,1.7,oiled,,107.0,,66195.0,0.5,0.6,0.6,0.0,0.6,0.3,0.8,0.6,key,key,1.0
20.0,10.0,hollow,Steel 16MnCr5,0.0,1.5,dry,,45.0,10.0,5128.0,0.5,0.8,1.0,0.7,0.4,0.4,0.4,0.8,spline,spline,1.0
50.0,48.0,solid,Aluminum 7075,1.0,1.6,oiled,,117.0,,64085.0,0.1,0.2,0.3,0.7,0.6,0.3,0.6,1.0,press,press,1.0
70.0,70.0,solid,Stainless 304,1.0,1.6,oiled,,163.0,,260438.0,0.0,0.1,0.4,0.9,0.1,0.7,0.5,0.2,key,key,1.0
35.0,24.0,solid,Steel 16MnCr5,0.0,1.5,dry,,81.0,,37666.0,0.6,0.6,0.0,0.8,0.4,0.0,0.8,0.1,key,key,1.0
35.0,34.0,solid,SteelC45E,1.0,1.8,oiled,,84.0,,47467.0,0.1,1.0,0.4,0.5,0.5,0.0,0.8,0.0,key,key,1.0
70.0,70.0,solid,Bronze CuSn8,1.0,1.5,oiled,,144.0,,425285.0,0.5,0.0,0.9,0.5,0.1,0.6,0.3,0.3,press,press,1.0
70.0,31.0,solid,SteelC45E,0.0,1.6,dry,0.16,147.0,,253670.0,0.3,0.9,0.5,0.8,1.0,0.2,0.3,1.0,spline,spline,1.0
60.0,55.0,solid,SteelC45E,1.0,1.5,oiled,,164.0,,264820.0,1.0,0.2,0.9,0.1,0.5,0.3,0.5,0.0,key,key,1.0
50.0,25.0,solid,SteelC45E,0.0,1.5,dry,0.22,96.0,,95628.0,0.8,0.1,0.4,0.6,0.7,0.0,0.9,0.2,key,key,1.0
18.0,16.0,solid,Bronze CuSn8,1.0,1.5,dry,,38.0,,8402.0,0.1,1.0,0.7,0.8,0.6,0.2,0.4,0.9,spline,spline,1.0
50.0,64.0,solid,SteelC45E,1.0,1.5,dry,,133.0,,148711.0,0.5,0.3,1.0,1.0,0.5,0.6,0.0,0.6,spline,spline,1.0
45.0,29.0,solid,Cast Iron GGG40,0.0,1.5,oiled,,109.0,,60425.0,0.8,0.9,0.0,0.7,0.1,0.9,0.3,0.2,spline,spline,1.0
50.0,32.0,solid,Steel C45,0.0,1.7,dry,,116.0,,167087.0,1.0,0.9,0.3,0.4,0.5,0.2,0.2,0.2,spline,spline,1.0
60.0,58.0,solid,Steel S235,1.0,1.6,dry,0.23,125.0,,126791.0,0.3,0.6,0.1,0.5,0.1,0.0,0.5,0.7,spline,spline,1.0
20.0,21.0,solid,SteelC45E,1.0,1.5,oiled,,52.0,,8036.0,0.5,0.1,0.9,0.2,0.2,0.7,0.2,0.6,key,key,1.0
60.0,74.0,hollow,Bronze CuSn8,1.0,1.7,dry,0.22,175.0,34.0,229225.0,1.0,0.6,0.8,0.6,0.7,0.8,0.6,0.8,spline,spline,1.0
70.0,74.0,solid,Steel 42CrMo4,1.0,1.5,dry,0.15,160.0,,431362.0,0.3,0.4,0.5,0.4,0.8,0.4,0.3,0.4,spline,spline,1.0
110.0,113.0,solid,Steel 16MnCr5,1.0,1.5,oiled,,297.0,,1501954.0,0.9,0.8,0.6,0.0,0.3,0.8,0.1,0.0,spline,spline,1.0
25.0,30.0,hollow,Bronze CuSn8,1.0,1.5,oiled,0.24,64.0,14.0,8378.0,1.0,0.8,1.0,1.0,0.0,0.7,0.2,0.6,spline,spline,1.0
20.0,22.0,solid,Bronze CuSn8,1.0,1.5,oiled,,52.0,,8063.0,0.8,0.9,0.1,0.8,0.1,0.0,0.7,0.5,spline,spline,1.0
45.0,57.0,solid,Aluminum 6061,1.0,1.7,dry,,98.0,,119854.0,1.0,0.1,0.0,1.0,0.6,0.8,0.4,0.4,spline,spline,1.0
90.0,95.0,solid,Steel E360,1.0,1.7,dry,,194.0,,242345.0,0.7,0.9,0.7,0.1,0.1,0.6,0.5,0.0,key,key,1.0
110.0,119.0,solid,Steel S235,1.0,1.9,dry,,283.0,,588575.0,0.4,1.0,0.0,0.9,0.7,0.8,0.3,0.9,spline,spline,1.0
45.0,45.0,hollow,Steel 16MnCr5,1.0,1.5,oiled,,111.0,26.0,61132.0,0.8,0.0,0.0,0.1,0.0,0.6,0.9,1.0,spline,spline,1.0
50.0,39.0,solid,Steel 16MnCr5,0.0,1.5,oiled,,92.0,,148061.0,0.5,0.2,0.1,0.1,0.7,0.5,0.5,0.8,spline,spline,1.0
50.0,50.0,solid,Aluminum 7075,1.0,1.6,oiled,,102.0,,59774.0,1.0,0.0,0.0,0.2,0.9,0.7,0.5,0.4,press,press,1.0
10.0,12.0,solid,Steel 16MnCr5,1.0,1.5,oiled,0.24,23.0,,1139.0,0.5,0.7,0.2,0.7,0.4,0.1,1.0,0.1,key,key,1.0
25.0,25.0,solid,Steel C45,1.0,1.6,oiled,,63.0,,7034.0,0.4,0.1,0.4,0.9,0.2,0.6,1.0,0.6,key,key,1.0
30.0,34.0,solid,Aluminum 6061,1.0,1.6,oiled,,75.0,,24932.0,0.2,0.8,0.3,0.6,0.2,0.5,0.4,0.6,spline,spline,1.0
100.0,60.0,solid,Steel 16MnCr5,0.0,1.5,dry,,247.0,,382896.0,0.8,0.4,0.5,0.0,0.1,0.0,0.0,0.9,spline,spline,1.0
50.0,51.0,solid,Steel 16MnCr5,1.0,2.0,dry,,135.0,,201926.0,0.7,0.1,0.2,0.6,0.7,0.5,0.1,0.4,spline,spline,1.0
90.0,106.0,solid,Stainless 304,1.0,1.9,oiled,0.09,213.0,,945299.0,0.7,0.7,0.1,0.4,0.9,1.0,1.0,1.0,spline,spline,1.0
40.0,42.0,hollow,Steel 16MnCr5,1.0,1.6,oiled,,82.0,18.0,71185.0,0.2,0.9,1.0,0.0,0.6,0.2,0.2,0.3,key,key,1.0
20.0,25.0,solid,Steel C45,1.0,1.7,oiled,,51.0,,8809.0,0.7,0.7,0.4,0.8,0.5,0.3,0.9,1.0,spline,spline,1.0
120.0,152.0,solid,Steel C45,1.0,1.8,oiled,,291.0,,907399.0,0.5,0.1,0.0,0.4,1.0,0.6,1.0,0.6,spline,spline,1.0
30.0,17.0,solid,Steel S235,0.0,1.6,dry,0.11,71.0,,40708.0,0.6,0.5,0.6,0.7,1.0,0.6,0.8,0.9,press,press,1.0
90.0,64.0,solid,Steel S235,0.0,1.8,dry,,194.0,,476949.0,0.7,0.6,1.0,0.7,0.4,0.1,1.0,1.0,key,key,1.0
100.0,92.0,solid,Cast Iron GG25,1.0,1.6,oiled,,249.0,,1253542.0,0.5,0.2,0.4,0.0,0.8,0.0,0.7,0.2,press,press,1.0
100.0,105.0,hollow,Cast Iron GG25,1.0,1.6,dry,,275.0,51.0,1043416.0,0.8,0.8,0.4,0.8,0.4,0.9,0.0,0.2,spline,spline,1.0
60.0,55.0,solid,Bronze CuSn8,1.0,1.6,oiled,,136.0,,189794.0,0.9,0.5,0.3,0.8,0.9,0.3,0.9,0.7,key,key,1.0
100.0,93.0,solid,Cast Iron GGG40,1.0,1.4,oiled,,281.0,,1135535.0,0.8,0.4,0.5,0.1,0.1,0.2,0.6,1.0,key,key,1.0
35.0,33.0,solid,Steel 16MnCr5,1.0,1.6,dry,,70.0,,64051.0,0.0,1.0,0.6,0.9,0.3,0.4,0.4,0.9,spline,spline,1.0
60.0,30.0,solid,Steel 16MnCr5,0.0,1.5,oiled,,144.0,,168694.0,0.2,0.6,0.6,0.7,0.0,0.9,0.3,0.2,press,press,1.0
70.0,85.0,solid,Stainless 304,1.0,1.7,oiled,,203.0,,375748.0,0.4,0.2,0.8,0.7,0.9,0.8,0.2,0.5,spline,spline,1.0
25.0,15.0,solid,Steel C45,0.0,1.8,dry,,47.0,,17969.0,0.3,0.0,0.0,0.2,0.6,1.0,0.0,0.5,spline,spline,1.0
