d_mm,L_mm,L_rule,bending,shaft_mat,hub_mat,shaft_type,DiI_mm,DaA_mm,mu,S_R,RzI_um,RzA_um,M_req_Nmm,p_erf,p_zul,Z_erf,Z_zul,G,U_erf,U_zul,U_nom,tol_shaft_mm,tol_hub_mm,QI,QA,Mt_from_pzul,assembly_method,tA,tI,Mt_press,key_b_mm,key_h_mm,key_l_mm,Mt_key,spline_z,spline_b_mm,spline_hproj_mm,spline_D_mm,Mt_spline,label,label_score,Mt_label,pref_ease,pref_movement,pref_cost,pref_vibration,pref_speed,pref_bidirectional,score_press,score_key,score_spline
50.0,50.0,D,True,Aluminum 6061,Aluminum 6061,solid,,116.88277715008186,0.22,1.5,18.229748235547667,6.073714263918046,120410.6875208802,61.94410059003372,47.5,0.13277120051893349,0.10181166510736332,0.019442769999572573,0.15221397051850605,0.1212544351069359,0.1212544351069359,0.07275266106416153,0.048501774042774365,0.0,0.4277790211623576,61555.581056275005,heat_hub,305.4240585115598,,61555.581056275005,14.0,9.0,50.0,225000.0,8,10,4.0,58,240000.0,spline,0.576816526734975,240000.0,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.2548695876541246,0.4450763058826466,1.0,,0.43997067711427407,0.576816526734975
40.0,20.0,0.5D,False,Aluminum 6061,Aluminum 6061,solid,,87.60126733673698,0.22,1.7,19.845442067546387,9.014321775298384,94802.7732573985,67.23854716013867,47.5,0.1173399092124054,0.08289360676272177,0.023087811074275818,0.1404277202866812,0.10598141783699759,0.10598141783699759,0.06358885070219855,0.04239256713479904,0.0,0.45661439858216946,39395.57187601601,heat_hub,324.1279538270783,,39395.57187601601,12.0,8.0,20.0,64000.0,8,8,3.0,46,115200.0,spline,0.22642124238252692,115200.0,0.04394200796138337,0.03568027877359614,0.5148888202713703,0.4662060253252891,0.9171677731928523,0.0,,,0.22642124238252692
25.0,25.0,D,True,Aluminum 6061,Aluminum 6061,solid,,49.890726212044136,0.22,1.7,8.693630015794348,15.688449692345749,10973.059026921963,19.923469062089396,47.5,0.02242061127949236,0.05345349409066222,0.01950566376651208,0.041926275046004435,0.0729591578571743,0.060546004732706354,0.03632760283962381,0.024218401893082542,0.0,0.5010951312623856,15388.895264068751,heat_hub,346.53052619058093,,15388.895264068751,8.0,7.0,25.0,43750.0,6,6,2.5,30,33750.0,key,1.337602269228142,43750.0,0.0037342420520759534,0.8300477298017456,0.15446108106143985,0.26759930456378545,0.8803321539808286,0.0,0.43513316502478505,1.337602269228142,1.1273286650900651
90.0,45.0,0.5D,False,Aluminum 6061,Aluminum 6061,solid,,179.01101224901936,0.22,1.5,13.576013499270843,13.1088113082049,468890.859843996,74.44948059835995,47.5,0.3019969166282287,0.19267902777224835,0.021347859845980595,0.3233447764742093,0.21402688761822894,0.21402688761822894,0.12841613257093737,0.08561075504729158,0.0,0.5027623656739197,199440.082622331,heat_hub,301.50637742428603,,199440.082622331,25.0,14.0,45.0,567000.0,10,14,4.0,98,756000.0,spline,0.12597506520992707,756000.0,0.5981840672072131,0.05925164234550362,0.3876318011107287,0.32303634625820665,0.15019972907045187,1.0,,-0.05177755371207454,0.12597506520992707
25.0,25.0,D,True,Steel C45,Steel C45,solid,,51.306269343763745,0.18,1.7,14.93195213103665,15.470303413379035,22803.746211745136,50.60502212618486,181.33333333333334,0.01810193373333948,0.06486478704545579,0.024321804435532553,0.04242373816887203,0.08918659148098834,0.07048145015614182,0.042288870093685094,0.02819258006245673,0.0,0.4872698857228203,48066.36759992384,heat_hub,400.6219716032944,,48066.36759992384,8.0,7.0,25.0,98437.5,6,6,2.5,30,78750.0,key,1.4198431376329101,98437.5,0.23956396182952333,0.40249829810398163,0.09670409393174562,0.9678280510488214,0.21500403735588003,0.0,0.7321806290229905,1.4198431376329101,1.1945513260289502
8.0,8.0,D,True,Steel C45,Steel C45,solid,,17.246202546299372,0.18,1.5,17.83104049224374,19.229274396029716,437.86289945029387,10.754327908034538,181.33333333333334,0.0012112124175386173,0.020422771829647773,0.029648251910618765,0.030859464328157383,0.050071023740266535,0.04238639997542287,0.025431839985253724,0.01695455999016915,0.0,0.46387023337590405,4921.996042232201,heat_hub,624.906497294443,,4921.996042232201,2.0,2.0,8.0,2880.0,6,3,3.0,14,15120.0,spline,13.726807757286894,15120.0,0.1454599537609269,0.19246349496833237,0.9279056847445244,0.5523264876672638,0.18055249844891164,1.0,4.859772924977117,2.5707520388874685,13.726807757286894
100.0,100.0,D,True,Aluminum 6061,Aluminum 6061,solid,,207.41841734512766,0.22,1.7,9.352848977545829,6.5328020136773475,969371.2953763109,110.00373144423077,47.5,0.48828215872386294,0.2108419617669241,0.012708520792978541,0.5009906795168415,0.22355048255990265,0.22355048255990265,0.13413028953594158,0.08942019302396106,0.0,0.48211726460918847,246222.32422510002,heat_hub,289.6254021332522,,246222.32422510002,28.0,16.0,100.0,1600000.0,10,16,4.0,108,960000.0,key,-0.24343968825408635,1600000.0,0.5476351992137353,0.3221633097802251,0.7513249198549279,0.025196870801760363,0.37218527256520395,1.0,,-0.24343968825408635,
90.0,90.0,D,True,Steel C45,Steel C45,solid,,202.22527488044716,0.18,1.3,18.219328919906843,10.818949337944368,790619.8832963109,177.0336077286698,181.33333333333334,0.22162722984780006,0.22701002855530733,0.02323062260628097,0.24485785245408104,0.2502406511615883,0.24808753167858538,0.1488525190071512,0.09923501267143416,0.0,0.44504822680155476,622940.124095013,heat_hub,335.0376399644336,,622940.124095013,25.0,14.0,90.0,2551500.0,10,14,4.0,98,1764000.0,key,0.6635327482643366,2551500.0,0.35541377702351207,0.5190984864959901,0.7652473832785226,0.9091793139905502,0.1510622780768155,1.0,,0.6635327482643366,0.34624234738181714
18.0,9.0,0.5D,False,Steel C45,Steel C45,solid,,39.649852049274585,0.18,1.7,11.864651112784593,17.41358789193064,5025.851531967676,21.514540857974406,181.33333333333334,0.0054169988019391055,0.045656677309671996,0.023422591203772186,0.02883959000571129,0.06907926851344418,0.05298339711035102,0.03179003826621061,0.02119335884414041,0.0,0.45397395121753853,24917.604963800517,heat_hub,423.14476163631565,,24917.604963800517,6.0,6.0,9.0,21870.0,6,4,2.0,22,30240.0,spline,2.210402907457978,30240.0,0.7930236580980341,0.5130035828222085,0.7258494205510871,0.22642348269714407,0.19852114799267284,0.0,1.9868041162218835,1.586296338513052,2.210402907457978
10.0,5.0,0.5D,False,Steel C45,Steel C45,solid,,20.555825677176905,0.18,1.3,10.760952943891757,9.801344677322994,1418.9518960423609,25.73597814983008,181.33333333333334,0.0036803040970783602,0.025931083936980612,0.016449838096971803,0.020130142194050165,0.04238092203395241,0.03348061009799151,0.020088366058794906,0.013392244039196605,0.0,0.4864800936263524,7690.618815987814,heat_hub,456.5076836162701,,7690.618815987814,3.0,3.0,5.0,3375.0,6,3,2.0,14,12600.0,spline,3.9597131448754377,12600.0,0.9803947508805895,0.515522669106271,0.521166129026224,0.8965405237160008,0.7427674182150396,1.0,2.7473019362059476,1.1611502953464043,3.9597131448754377
