product_series,family,subtype,data_source,d_mm,D_mm,Mt_Nm,Fax,pW_N_per_mm2,pN_N_per_mm2,Z_count,S_spec,MA_Nm,L_mm,L1_mm,L2_mm,weight_kg
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,70,110,6900,197,187,95,8,M10 x 055,83,50,60,70,2.2
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,80,120,9800,247,204,109,10,M10 x 055,83,50,60,70,2.5
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,90,130,12200,271,200,111,11,M10 x 055,83,50,60,70,2.7
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,100,145,18200,364,201,111,10,M12 x 060,145,60,70,82,4.1
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,110,155,20000,364,183,104,10,M12 x 060,145,60,70,82,4.4
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,120,165,24000,401,185,107,11,M12 x 060,145,60,70,82,4.7
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,130,180,33100,510,193,116,14,M12 x 065,145,65,79,91,6.2
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,140,190,38200,547,192,117,15,M12 x 065,145,65,79,91,6.6
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,150,200,40900,547,179,112,15,M12 x 065,145,65,79,91,7
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,160,210,46600,583,179,113,16,M12 x 065,145,65,79,91,7.4
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,170,225,62300,734,179,111,15,M14 x 075,230,78,92,106,10.4
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,180,235,66000,734,169,106,15,M14 x 075,230,78,92,106,11
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,190,250,74300,782,144,94,16,M14 x 080,230,88,102,116,14.3
3015,interference,locking_assembly,TAS_SCHAEFER_catalog,200,260,97100,972,170,113,18,M14 x 080,230,88,102,116,15
