product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,14,11,36,38,10,1,11,26,15,12,3,M 6 x 10,933,10.9,15078,386,1.54E-05,0.08
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,16,13,75,41,13.5,1.5,15,28,17,12,3,M 6 x 12,933,10.9,13975,431,2.85E-05,0.12
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,18,15,100,44,13.5,1.5,15,30,19,12,3,M 6 x 12,933,10.9,13022,389,3.76E-05,0.13
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,20,17,150,47,13.5,1.5,15,32,22,12,3,M 6 x 12,933,10.9,12191,342,4.88E-05,0.15
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,24,20,215,50,16,2,18,36,26,12,4,M 6 x 16,933,10.9,11459,329,7.34E-05,0.19
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,30,25,430,60,18,2,20,44,32,12,6,M 6 x 16,933,10.9,9549,341,0.0001689,0.3
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,36,30,740,72,20,2,22,52,38,30,5,M 8 x 20,933,10.9,7958,483,0.0003786,0.47
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,38,32,760,72,20,2,22,53,40,30,5,M 8 x 20,933,10.9,7958,460,0.0003725,0.45
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,44,35,790,80,22,2,24,61,47,30,5,M 8 x 20,933,10.9,7162,341,0.0006151,0.59
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,50,40,1370,90,23.5,2.5,26,68,53,30,7,M 8 x 20,933,10.9,6366,386,0.0010705,0.81
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,55,45,1840,100,26,3,29,72,58,30,8,M 8 x 20,933,10.9,5730,360,0.0018431,1.13
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,62,50,1990,110,26,3,29,80,66,30,8,M 8 x 20,933,10.9,5209,318,0.0026706,1.34
