d (mm);;D (mm);Mt (Nm);Fax (Nm);pW (N/mm²);pN (N/mm²);Z (Stk.);S;MA (Nm);L (mm);L1 (mm);L2 (mm);Gewicht (kg)
70;x;110;6900;197;187;95;8;M10 x 055;83;50;60;70;2,2
80;x;120;9800;247;204;109;10;M10 x 055;83;50;60;70;2,5
90;x;130;12200;271;200;111;11;M10 x 055;83;50;60;70;2,7
100;x;145;18200;364;201;111;10;M12 x 060;145;60;70;82;4,1
110;x;155;20000;364;183;104;10;M12 x 060;145;60;70;82;4,4
120;x;165;24000;401;185;107;11;M12 x 060;145;60;70;82;4,7
130;x;180;33100;510;193;116;14;M12 x 065;145;65;79;91;6,2
140;x;190;38200;547;192;117;15;M12 x 065;145;65;79;91;6,6
150;x;200;40900;547;179;112;15;M12 x 065;145;65;79;91;7
160;x;210;46600;583;179;113;16;M12 x 065;145;65;79;91;7,4
170;x;225;62300;734;179;111;15;M14 x 075;230;78;92;106;10,4
180;x;235;66000;734;169;106;15;M14 x 075;230;78;92;106;11
190;x;250;74300;782;144;94;16;M14 x 080;230;88;102;116;14,3
200;x;260;97100;972;170;113;18;M14 x 080;230;88;102;116;15
220;x;285;110000;1007;148;98;15;M16 x 090;355;96;108;124;19,4
240;x;305;161000;1342;181;122;20;M16 x 090;355;96;108;124;21
260;x;325;174000;1342;167;114;20;M16 x 090;355;96;108;124;22,5
280;x;355;219000;1569;196;122;15;M20 x 100;690;96;110;130;28,2
300;x;375;251000;1674;195;123;16;M20 x 100;690;96;110;130;30
320;x;405;334000;2092;181;111;20;M20 x 110;690;124;136;156;47,1
340;x;425;355000;2092;170;105;20;M20 x 110;690;124;136;156;49,7
360;x;455;469000;2610;160;109;20;M22 x 130;930;140;157;179;66,8
380;x;475;495000;2610;152;104;20;M22 x 130;930;140;157;179;70,1
400;x;495;574000;2871;159;110;22;M22 x 130;930;140;157;179;73,4
420;x;515;657000;3132;165;115;24;M22 x 130;930;140;157;179;76,7
440;x;535;689000;3132;157;111;24;M22 x 130;930;140;157;179;79,9
460;x;555;720000;3132;151;107;24;M22 x 130;930;140;157;179;83,2
480;x;575;782000;3262;150;108;25;M22 x 130;930;140;157;179;86,5
500;x;595;815000;3262;144;104;25;M22 x 130;930;140;157;179;89,8
520;x;615;950000;3654;155;113;28;M22 x 130;930;140;157;179;93,1
540;x;635;986000;3654;150;109;28;M22 x 130;930;140;157;179;96,3
560;x;655;1096000;3915;155;113;30;M22 x 130;930;140;157;179;100
580;x;675;1135000;3915;149;110;30;M22 x 130;930;140;157;179;103
600;x;695;1174000;3915;144;107;30;M22 x 130;930;140;157;179;106
