d (mm);;D (mm);Mt (Nm);Fax (Nm);pW (N/mm²);pN (N/mm²);Z (Stk.);S;MA (Nm);L (mm);L1 (mm);L2 (mm);Gewicht (kg)
100;x;145;7800;157;80;46;7;M10 x 060;83;62;74;84;4,2
110;x;155;9800;180;83;50;8;M10 x 060;83;62;74;84;4,6
120;x;165;12100;202;83;51;9;M10 x 060;83;64;76;86;5,1
130;x;180;14600;225;85;52;10;M10 x 060;83;64;76;86;6,1
140;x;190;17300;247;84;52;11;M10 x 060;83;66;78;88;6,7
150;x;200;18500;247;73;53;11;M10 x 070;83;62;84;94;6,7
160;x;210;23900;299;75;48;9;M12 x 075;145;78;92;104;8,9
170;x;225;28200;332;79;50;10;M12 x 075;145;78;92;104;10,4
180;x;235;29800;332;79;50;10;M12 x 070;145;75;86;100;10,6
190;x;250;38100;401;67;50;9;M14 x 080;230;85;112;126;13,8
200;x;260;44500;446;70;54;10;M14 x 090;230;85;112;126;14,5
220;x;285;53900;490;74;54;11;M14 x 090;230;85;112;126;17,2
240;x;305;66000;551;76;56;9;M16 x 090;355;85;112;128;18,6
260;x;325;87400;673;75;57;11;M16 x 100;355;97;124;140;22,7
280;x;355;111000;795;72;55;13;M16 x 090;355;108;136;152;31,7
300;x;375;119000;795;73;52;13;M16 x 090;355;108;127;143;33,7
320;x;405;138000;865;65;47;15;M16 x 090;355;120;142;142;45,6
340;x;425;142000;841;60;44;15;M16 x 090;355;120;142;158;48,1
360;x;455;195000;1088;67;49;16;M18 x 130;485;130;160;178;62,1
380;x;475;235000;1240;67;48;13;M20 x 130;690;145;172;192;72,6
400;x;495;305000;1526;78;56;16;M20 x 130;690;145;172;192;76
420;x;515;320000;1526;69;54;16;M20 x 130;690;145;180;190;79,4
440;x;545;377000;1717;74;52;18;M20 x 130;690;160;180;200;102
460;x;565;394000;1717;71;56;18;M20 x 130;690;145;180;200;96,2
480;x;585;457000;1907;75;54;20;M20 x 130;690;160;180;200;110,3
500;x;605;476000;1907;72;60;20;M20 x 130;690;140;180;200;100,1
520;x;630;556000;2141;73;50;18;M22 x 140;930;180;202;224;140,4
540;x;650;610000;2260;74;51;19;M22 x 140;930;180;202;224;145,3
560;x;670;666000;2379;75;52;20;M22 x 140;930;180;202;224;150,2
580;x;690;632000;2180;66;47;20;M22 x 140;930;180;208;208;155
600;x;710;653000;2180;64;45;20;M22 x 140;930;180;208;230;159,9
620;x;730;585000;1888;78;62;21;M20 x 090;930;110;140;140;100,7
