d (mm);dw  (mm);M max (Nm);D (mm);I (mm);e (mm);H (mm);A (mm);d1 (mm);MA (Nm);Z (Stk.);S;DIN;Klasse;nmax (min-1);pN  (N/mm²);I (kgm²);Gewicht (kg)
14;11;36;38;10;1;11;26;15;12;3;M 6 x 10;933;10.9;15078;386;0,0000154;0,08
16;13;75;41;13,5;1,5;15;28;17;12;3;M 6 x 12;933;10.9;13975;431;0,0000285;0,12
18;15;100;44;13,5;1,5;15;30;19;12;3;M 6 x 12;933;10.9;13022;389;0,0000376;0,13
20;17;150;47;13,5;1,5;15;32;22;12;3;M 6 x 12;933;10.9;12191;342;0,0000488;0,15
24;20;215;50;16;2;18;36;26;12;4;M 6 x 16;933;10.9;11459;329;0,0000734;0,19
30;25;430;60;18;2;20;44;32;12;6;M 6 x 16;933;10.9;9549;341;0,0001689;0,3
36;30;740;72;20;2;22;52;38;30;5;M 8 x 20;933;10.9;7958;483;0,0003786;0,47
38;32;760;72;20;2;22;53;40;30;5;M 8 x 20;933;10.9;7958;460;0,0003725;0,45
44;35;790;80;22;2;24;61;47;30;5;M 8 x 20;933;10.9;7162;341;0,0006151;0,59
50;40;1370;90;23,5;2,5;26;68;53;30;7;M 8 x 20;933;10.9;6366;386;0,0010705;0,81
55;45;1840;100;26;3;29;72;58;30;8;M 8 x 20;933;10.9;5730;360;0,0018431;1,13
62;50;1990;110;26;3;29;80;66;30;8;M 8 x 20;933;10.9;5209;318;0,0026706;1,34
68;55;2460;115;26;3;29;86;72;30;9;M 8 x 20;933;10.9;4982;329;0,0031146;1,4
75;60;3830;138;27;4;31;100;79;59;8;M 10 x 25;933;10.9;4152;424;0,0070393;2,28
80;65;4240;138;27;4;31;104;84;59;8;M 10 x 25;933;10.9;4152;399;0,0068412;2,15
85;68;6000;155;34;4;38;114;94;59;10;M 10 x 30;933;10.9;3697;338;0,0138071;3,53
90;70;5830;155;34;4;38;114;94;59;10;M 10 x 30;933;10.9;3697;338;0,0134544;3,35
100;75;7400;170;39;4;43;124;104;59;12;M 10 x 30;933;10.9;3370;305;0,0220976;4,54
105;80;10000;185;44;5;49;136;114;100;10;M 12 x 30;933;10.9;3097;308;0,036286;6,42
110;85;11700;185;44;5;49;136;114;100;10;M 12 x 30;933;10.9;3097;308;0,0354267;6,12
125;95;14900;215;47,5;5,5;53;160;134;100;12;M 12 x 35;933;10.9;2665;284;0,0703948;9,11
130;100;19600;215;47,5;5,5;53;160;134;100;12;M 12 x 35;933;10.9;2665;284;0,0688524;8,73
135;100;20400;230;52;6;58;173;145;160;10;M 14 x 40;933;10.9;2491;284;0,1009972;11,4
140;105;19000;230;52;6;58;173;145;160;10;M 14 x 40;933;10.9;2491;284;0,0988674;10,9
150;110;26400;263;56;6;62;190;164;160;12;M 14 x 40;933;10.9;2179;274;0,186446;16,3
155;115;27200;263;56;6;62;190;164;160;12;M 14 x 40;933;10.9;2179;274;0,1833539;15,7
160;120;32000;263;56;6;62;190;164;160;12;M 14 x 40;933;10.9;2179;274;0,1799476;15,2
165;125;38200;290;61;7;68;204;175;250;10;M 16 x 45;933;10.9;1976;297;0,3044866;21,9
175;135;46000;300;60;8;68;214;185;250;12;M 16 x 50;933;10.9;1910;345;0,3444253;22,8
185;145;66700;330;77;8;85;226;194;250;14;M 16 x 50;933;10.9;1736;278;0,6464885;36,1
195;150;82000;350;77;8;85;240;205;250;16;M 16 x 50;933;10.9;1637;300;0,8151453;40,6
200;155;83600;350;77;8;85;240;205;250;16;M 16 x 50;933;10.9;1637;300;0,805882;39,7
220;165;109000;370;94;10;104;270;226;490;16;M 20 x 60;933;10.9;1549;342;1,2075884;52,1
240;180;140000;405;97;10;107;296;246;490;18;M 20 x 60;933;10.9;1415;342;1,8077432;65,3
260;200;184000;430;109;10;119;318;266;490;21;M 20 x 60;933;10.9;1332;319;2,5259772;80
280;220;240000;460;124;10;134;340;287;490;22;M 20 x 60;933;10.9;1246;269;3,6716977;101
300;230;300000;485;132;10;142;360;307;840;20;M 24 x 70;933;10.9;1181;323;4,7555885;117
320;250;332000;520;133;10;143;380;327;840;21;M 24 x 70;933;10.9;1102;319;6,2826175;135
340;260;427000;570;146;12;158;402;348;840;22;M 24 x 80;931;10.9;1005;278;10,2530016;186
360;280;539000;590;150;12;162;424;368;840;24;M 24 x 80;931;10.9;971;278;11,9213225;200
380;290;536000;635;149;14;163;448;388;1250;18;M 27 x 80;933;10.9;902;258;16,5612857;242
390;300;561000;650;152;14;166;458;398;1250;18;M 27 x 80;933;10.9;881;252;18,1541897;253
400;310;648000;660;158;15;173;475;410;1250;20;M 27 x 80;931;10.9;868;255;20,3512933;273
420;330;731300;690;171;15;186;495;430;1250;21;M 27 x 80;931;10.9;830;236;25,7145823;315
440;350;912000;740;181;15;196;516;448;1250;24;M 27 x 80;931;10.9;774;243;36,37552;393
460;370;1026000;770;181;15;196;536;468;1250;25;M 27 x 80;933;10.9;744;243;42,5268672;423
480;390;1177000;800;201;15;216;556;488;1250;27;M 27 x 80;933;10.9;716;223;54,3812311;500
500;410;1288000;850;201;15;216;580;510;1250;28;M 27 x 80;933;10.9;674;222;70,0908985;577
530;440;1660000;910;223;15;238;616;538;1700;27;M 30 x 90;931;10.9;630;219;102,5969192;740
560;460;2083000;940;223;22;245;646;568;1700;28;M 30 x 90;931;10.9;610;250;115,37142;771
590;480;2140000;950;240;23;263;670;598;1700;28;M 30 x 100;931;10.9;597;219;126,59661;810
620;510;2560000;970;268;23;291;716;630;1700;28;M 30 x 100;931;10.9;562;206;149,62953;904
640;530;2372000;970;269;18;287;736;650;1700;28;M 30 x 100;931;10.9;562;178;145,57015;862
660;550;2830000;1020;270;22;292;770;670;2200;28;M 33 x 110;931;10.9;535;195;182,44888;989
