iter	MultiClass
0	0.8779108766
1	0.7709477224
2	0.7026251584
3	0.6501223256
4	0.6170372133
5	0.5878112493
6	0.5649318595
7	0.5384129153
8	0.5214953843
9	0.5050982914
10	0.4949156484
11	0.4809201248
12	0.4682325166
13	0.4591958577
14	0.4488766525
15	0.4388105499
16	0.4303676966
17	0.4222855103
18	0.413401782
19	0.4068437852
20	0.4007748513
21	0.3941568561
22	0.3860737117
23	0.3778463716
24	0.3705080791
25	0.3650771752
26	0.3598715681
27	0.3539330923
28	0.3469201756
29	0.3419237204
30	0.3354692882
31	0.3305246113
32	0.3245944901
33	0.3192446874
34	0.3150485781
35	0.3093700101
36	0.3052606435
37	0.3001095227
38	0.2954926876
39	0.2924582659
40	0.2882994514
41	0.2849412461
42	0.2797061249
43	0.2762710738
44	0.2741853405
45	0.2710600017
46	0.2671688566
47	0.2645258346
48	0.2597375096
49	0.2561727833
50	0.2525373229
51	0.2487060158
52	0.2473180285
53	0.2454091445
54	0.2434084881
55	0.2413375704
56	0.2381356314
57	0.235337706
58	0.2330774991
59	0.2309420644
60	0.228066419
61	0.2249317273
62	0.2228640642
63	0.2207642049
64	0.2175117606
65	0.2152966629
66	0.2131772311
67	0.2102962566
68	0.2081446443
69	0.2064455931
70	0.2046364034
71	0.2024528699
72	0.2000074706
73	0.1977817451
74	0.1953363215
75	0.1933185664
76	0.191752384
77	0.1900182807
78	0.1883929694
79	0.1872303743
80	0.1860113651
81	0.1842281454
82	0.182667636
83	0.1813597523
84	0.179389897
85	0.1774699217
86	0.1749052377
87	0.1724205101
88	0.1706241367
89	0.1695893915
90	0.1678294336
91	0.1666766049
92	0.1653424329
93	0.1642159481
94	0.1628549176
95	0.1616447292
96	0.1607122869
97	0.1592670761
98	0.1582319637
99	0.1569607641
100	0.1556097626
101	0.1537220629
102	0.1523746773
103	0.1515442154
104	0.1508246591
105	0.1497394367
106	0.1483495832
107	0.1471233475
108	0.1460136815
109	0.1445765907
110	0.1432332501
111	0.1419491196
112	0.1409698972
113	0.139775713
114	0.1386590924
115	0.136796197
116	0.1358841718
117	0.1345979392
118	0.1338530708
119	0.1330595317
120	0.1323424153
121	0.1312331143
122	0.1300964408
123	0.1284656012
124	0.1275236374
125	0.1266225453
126	0.1255794257
127	0.1246426949
128	0.1237968354
129	0.1227528075
130	0.1213557245
131	0.1204654963
132	0.1192926521
133	0.1177665987
134	0.1166776042
135	0.1160049793
136	0.1152620396
137	0.114323847
138	0.1137651501
139	0.1131223466
140	0.1123759055
141	0.1116164895
142	0.1107714269
143	0.1098863891
144	0.1089525774
145	0.1081674511
146	0.1075729859
147	0.1071925692
148	0.1065430951
149	0.1059032837
