iter	Passed	Remaining
0	164	24538
1	177	13107
2	197	9691
3	207	7578
4	229	6641
5	237	5695
6	246	5042
7	277	4917
8	285	4470
9	294	4129
10	314	3980
11	323	3719
12	349	3686
13	361	3516
14	379	3414
15	390	3270
16	401	3140
17	411	3017
18	424	2927
19	436	2840
20	446	2741
21	457	2661
22	471	2606
23	484	2541
24	491	2459
25	502	2394
26	509	2322
27	520	2269
28	532	2223
29	540	2162
30	548	2106
31	557	2056
32	567	2012
33	578	1974
34	587	1931
35	598	1894
36	608	1859
37	620	1829
38	632	1799
39	645	1775
40	658	1749
41	670	1725
42	691	1720
43	705	1700
44	721	1683
45	735	1661
46	757	1659
47	769	1634
48	789	1627
49	808	1616
50	819	1590
51	828	1562
52	838	1535
53	848	1507
54	860	1486
55	871	1463
56	882	1439
57	888	1409
58	894	1379
59	900	1350
60	905	1321
61	914	1297
62	920	1270
63	926	1244
64	932	1219
65	938	1194
66	943	1169
67	949	1144
68	954	1120
69	960	1097
70	965	1074
71	971	1052
72	976	1030
73	981	1008
74	987	987
75	992	966
76	998	946
77	1003	926
78	1009	906
79	1014	887
80	1019	868
81	1024	849
82	1030	831
83	1035	813
84	1040	795
85	1046	778
86	1052	761
87	1058	745
88	1064	729
89	1070	713
90	1076	697
91	1084	683
92	1093	670
93	1101	656
94	1109	642
95	1125	633
96	1136	621
97	1143	606
98	1150	592
99	1158	579
100	1167	566
101	1174	552
102	1181	539
103	1190	526
104	1198	513
105	1203	499
106	1211	486
107	1217	473
108	1223	460
109	1232	448
110	1238	435
111	1244	422
112	1250	409
113	1256	396
114	1263	384
115	1269	372
116	1276	360
117	1283	348
118	1290	336
119	1296	324
120	1302	312
121	1307	300
122	1312	288
123	1318	276
124	1324	264
125	1330	253
126	1338	242
127	1345	231
128	1352	220
129	1359	209
130	1366	198
131	1372	187
132	1380	176
133	1388	165
134	1395	155
135	1401	144
136	1406	133
137	1412	122
138	1420	112
139	1426	101
140	1432	91
141	1437	81
142	1443	70
143	1449	60
144	1454	50
145	1461	40
146	1467	29
147	1472	19
148	1478	9
149	1483	0
